date,open,high,low,close,volume
2016-07-28,45.59,46.15,45.32,46.12,12095295
2016-07-29,46.14,47.06,46.05,46.96,15354065
2016-08-01,47.1,47.33,45.88,46.0,20081420
2016-08-02,45.87,45.97,44.28,45.44,19672160
2016-08-03,45.47,45.94,44.84,45.16,19438795
2016-08-04,45.14,46.17,44.41,46.12,20734985
2016-08-05,46.0,46.4,45.48,46.01,16026075
2016-08-08,45.6,45.92,45.22,45.23,11317920
2016-08-09,45.36,46.31,45.33,45.82,11039165
2016-08-10,45.65,45.97,44.92,45.13,11691505
2016-08-11,45.23,45.51,44.68,44.98,9404680
2016-08-12,45.08,45.33,44.81,45.12,9067700
2016-08-15,45.2,45.9,44.99,45.12,10171640
2016-08-16,45.1,45.44,44.68,44.72,11335735
2016-08-17,44.87,44.97,44.56,44.65,8935635
2016-08-18,44.76,45.13,44.46,44.7,8572335
2016-08-19,44.71,45.03,44.51,45.0,8297650
2016-08-22,44.83,45.02,44.54,44.59,10327465
2016-08-23,44.86,45.7,44.56,44.97,23922090
2016-08-24,45.41,45.43,44.44,44.52,12853465
2016-08-25,44.62,44.76,44.15,44.19,8812595
2016-08-26,44.43,44.57,43.76,44.0,11194960
2016-08-29,44.03,44.08,43.0,43.04,16331670
2016-08-30,43.22,43.22,42.1,42.27,15844310
2016-08-31,42.09,42.52,41.73,42.4,16382740
2016-09-01,41.8,42.22,40.1,40.15,39715690
2016-09-02,40.47,40.64,39.24,39.56,29887065
2016-09-06,39.8,40.65,39.8,40.57,21952860
2016-09-07,41.1,41.3,40.14,40.34,18204615
2016-09-08,39.91,39.98,39.27,39.47,16889730
2016-09-09,39.82,39.98,38.74,38.89,18784960
2016-09-12,39.0,40.27,38.82,39.66,18575805
2016-09-13,39.41,39.7,38.69,39.21,17946895
2016-09-14,39.15,39.59,38.97,39.28,11296155
2016-09-15,39.3,40.5,39.28,40.08,15425575
2016-09-16,40.08,41.14,39.8,41.08,15539040
2016-09-19,41.4,41.89,41.0,41.27,11497490
2016-09-20,41.37,41.55,40.78,40.93,12052440
2016-09-21,41.27,41.4,40.31,41.04,13167515
2016-09-22,41.28,41.46,40.6,41.29,11914510
2016-09-23,41.2,42.04,41.13,41.49,14526145
2016-09-26,41.3,42.2,41.3,41.8,11971790
2016-09-27,41.93,42.0,40.92,41.16,16865900
2016-09-28,41.5,41.65,41.05,41.25,10441870
2016-09-29,41.12,41.47,40.12,40.14,13635145
2016-09-30,40.44,41.0,39.91,40.81,12931365
2016-10-03,42.46,43.13,41.65,42.74,29999460
2016-10-04,42.62,42.66,41.76,42.28,17707405
2016-10-05,42.45,42.63,41.62,41.69,9387670
2016-10-06,40.49,40.84,40.04,40.2,23517010
2016-10-07,40.2,40.26,39.16,39.32,17465090
2016-10-10,40.27,40.83,39.93,40.19,16581485
2016-10-11,40.37,40.44,39.66,40.02,11642110
2016-10-12,40.19,40.78,40.08,40.3,9853445
2016-10-13,40.1,40.18,39.41,40.05,12477065
2016-10-14,40.13,40.29,39.26,39.3,21349250
2016-10-17,39.41,39.68,38.4,38.79,22770400
2016-10-18,39.2,39.89,38.65,39.82,28402375
2016-10-19,39.95,41.33,39.61,40.71,34955915
2016-10-20,40.42,40.6,39.41,39.82,25364385
2016-10-21,39.72,40.31,39.48,40.02,14717010
2016-10-24,40.2,40.79,40.05,40.55,13757810
2016-10-25,40.58,40.94,40.24,40.47,12225070
2016-10-26,40.2,40.64,40.02,40.45,28164205
2016-10-27,42.27,42.74,40.33,40.8,65468720
2016-10-28,40.8,41.06,39.97,39.99,21400705
2016-10-31,40.5,40.5,39.16,39.55,23461365
2016-11-01,39.61,39.7,37.62,38.16,35300180
2016-11-02,38.01,38.54,37.5,37.6,21266910
2016-11-03,37.8,38.29,37.41,37.48,13265115
2016-11-04,37.8,38.69,37.19,38.11,25730215
2016-11-07,38.72,38.86,38.01,38.64,19350560
2016-11-08,38.76,39.5,38.25,38.99,16337900
2016-11-09,37.38,38.4,36.79,38.01,40865325
2016-11-10,38.21,38.32,36.08,37.07,33751705
2016-11-11,36.85,37.78,36.6,37.71,19942520
2016-11-14,37.6,37.65,35.64,36.29,32761025
2016-11-15,36.56,37.29,36.41,36.75,19510090
2016-11-16,36.53,36.95,36.24,36.79,17172185
2016-11-17,36.7,37.9,36.42,37.73,24435335
2016-11-18,38.13,38.6,37.0,37.0,26051735
2016-11-21,37.01,37.78,36.88,36.9,21805215
2016-11-22,37.17,38.29,36.74,38.23,28016805
2016-11-23,38.12,39.13,37.8,38.63,24459465
2016-11-25,38.73,39.45,38.73,39.33,11830490
2016-11-28,39.1,39.87,38.91,39.22,22645910
2016-11-29,39.11,39.35,37.9,37.91,22196280
2016-11-30,38.2,38.38,37.5,37.88,17735520
2016-12-01,37.65,37.71,36.2,36.38,25632005
2016-12-02,36.58,36.98,36.0,36.29,20211620
2016-12-05,36.5,37.78,36.5,37.36,20361195
2016-12-06,37.1,37.32,36.54,37.17,16958110
2016-12-07,37.23,38.68,37.0,38.63,27309255
2016-12-08,38.41,38.5,37.91,38.46,15970740
2016-12-09,38.17,38.77,38.16,38.44,13612525
2016-12-12,38.56,38.88,38.21,38.49,12194380
2016-12-13,38.64,40.26,38.6,39.63,34119420
2016-12-14,39.75,40.6,39.35,39.74,20754635
2016-12-15,39.68,40.15,39.48,39.52,16097835
2016-12-16,39.62,40.52,39.52,40.5,18984445
2016-12-19,40.5,40.89,39.97,40.55,17440355
2016-12-20,40.61,41.8,40.5,41.76,23445355
2016-12-21,41.69,42.45,41.48,41.54,26038110
2016-12-22,41.64,42.0,41.3,41.69,15555540
2016-12-23,41.6,42.69,41.54,42.67,23352320
2016-12-27,42.98,44.45,42.88,43.91,29578660
2016-12-28,44.31,44.76,43.44,43.95,18912280
2016-12-29,43.71,43.84,42.82,42.94,20224840
2016-12-30,43.26,43.5,42.34,42.74,23213100
2017-01-03,42.97,44.07,42.19,43.4,29616270
2017-01-04,42.95,45.6,42.86,45.4,56067355
2017-01-05,45.28,45.5,44.39,45.35,29558475
2017-01-06,45.39,46.06,45.09,45.8,27639465
2017-01-09,45.79,46.38,45.6,46.26,19897420
2017-01-10,46.4,46.4,45.38,45.97,18299775
2017-01-11,45.81,46.0,45.34,45.95,18254125
2017-01-12,45.81,46.14,45.12,45.92,18951145
2017-01-13,46.0,47.57,45.92,47.55,30464800
2017-01-17,47.34,47.99,46.87,47.12,23087610
2017-01-18,47.33,47.94,47.12,47.67,18844835
2017-01-19,49.45,49.74,48.15,48.75,38661515
2017-01-20,49.09,49.2,48.6,48.95,21021375
2017-01-23,49.17,50.18,49.1,49.78,31314690
2017-01-24,50.0,50.96,49.93,50.92,24827255
2017-01-25,51.46,51.69,50.36,50.89,25731805
2017-01-26,50.86,51.15,50.15,50.5,15760615
2017-01-27,50.28,50.6,49.7,50.59,15831680
2017-01-30,50.51,51.06,49.42,50.13,19005370
2017-01-31,49.85,51.18,49.54,50.39,20580520
2017-02-01,50.61,50.64,49.81,49.85,19794145
2017-02-02,49.67,50.48,49.54,50.31,12498875
2017-02-03,50.38,50.44,49.94,50.27,10933615
2017-02-06,50.2,51.56,50.13,51.55,17812585
2017-02-07,51.64,52.0,51.28,51.5,21223875
2017-02-08,51.47,52.67,51.24,52.42,19665070
2017-02-09,53.25,54.24,53.23,53.84,39101110
2017-02-10,53.96,54.19,53.22,53.85,18098695
2017-02-13,54.15,56.16,54.1,56.12,35148025
