Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
PMAR,600,0,0.00,0,0.00,27.47,600,0
BFEB,579,0,0.00,0,0.00,25.18,579,0
GCOW,577,0,0.00,0,0.00,25.67,577,0
EWUS,551,0,0.00,0,0.00,33.52,551,0
DNOV,500,0,0.00,0,0.00,31.80,500,0
PSMG,494,0,0.00,0,0.00,14.32,494,0
VFMF,492,0,0.00,0,0.00,71.02,492,0
EAOA,486,0,0.00,0,0.00,27.29,486,0
EAOR,478,0,0.00,0,0.00,26.76,478,0
ARCM,476,0,0.00,0,0.00,100.55,476,0
NAPR,472,0,0.00,0,0.00,34.77,472,0
HYHG,467,0,0.00,0,0.00,59.96,467,0
PSMM,459,0,0.00,0,0.00,13.70,359,100
FRDM,457,0,0.00,0,0.00,25.58,457,0
GTIP,448,0,0.00,0,0.00,56.76,448,0
GOAT,427,0,0.00,0,0.00,32.38,127,300
VFMV,425,0,0.00,0,0.00,81.77,325,100
ESG,423,0,0.00,0,0.00,81.10,423,0
BJUL,401,0,0.00,0,0.00,28.18,401,0
DURA,401,0,0.00,0,0.00,26.81,401,0
PWS,401,0,0.00,0,0.00,24.87,401,0
AESR,400,0,0.00,0,0.00,10.73,400,0
WLDR,400,0,0.00,0,0.00,20.48,400,0
EWGS,397,0,0.00,0,0.00,62.20,397,0
FFTI,396,0,0.00,0,0.00,24.01,396,0
IBHD,388,0,0.00,0,0.00,23.61,388,0
HYXU,380,0,0.00,0,0.00,53.25,380,0
IECS,369,0,0.00,0,0.00,29.06,369,0
IBHE,364,0,0.00,0,0.00,24.27,364,0
IBMN,339,0,0.00,0,0.00,28.12,339,0
TOKE,326,0,0.00,0,0.00,11.77,326,0
RESD,321,0,0.00,0,0.00,25.83,321,0
PBDM,312,0,0.00,0,0.00,23.72,312,0
BNOV,308,0,0.00,0,0.00,27.60,308,0
QMOM,308,0,0.00,0,0.00,39.08,308,0
FCTR,306,0,0.00,0,0.00,25.22,306,0
SLT,306,0,0.00,0,0.00,27.41,306,0
IQM,302,0,0.00,0,0.00,32.50,302,0
IBMQ,301,0,0.00,0,0.00,27.34,301,0
DMAY,300,0,0.00,0,0.00,31.91,300,0
UJUL,286,0,0.00,0,0.00,25.81,286,0
STOT,278,0,0.00,0,0.00,49.82,278,0
XVZ,273,0,0.00,0,0.00,39.56,273,0
TTAC,264,0,0.00,0,0.00,40.96,264,0
MRSK,256,0,0.00,0,0.00,27.33,256,0
PAPR,243,0,0.00,0,0.00,26.51,243,0
UJUN,238,0,0.00,0,0.00,27.20,238,0
PBUS,235,0,0.00,0,0.00,34.21,235,0
FLQM,219,0,0.00,0,0.00,33.00,219,0
DFND,212,0,0.00,0,0.00,35.70,212,0
EYLD,212,0,0.00,0,0.00,28.67,212,0
QLC,203,0,0.00,0,0.00,37.05,203,0
IGRO,201,0,0.00,0,0.00,55.82,201,0
UAUG,201,0,0.00,0,0.00,27.10,201,0
IGHG,200,0,0.00,0,0.00,71.95,200,0
TCTL,200,0,0.00,0,0.00,27.33,200,0
GSUS,190,0,0.00,0,0.00,46.76,190,0
LEAD,172,0,0.00,0,0.00,43.59,172,0
UFEB,170,0,0.00,0,0.00,24.95,170,0
FMAY,162,0,0.00,0,0.00,33.05,162,0
TRTY,145,0,0.00,0,0.00,22.78,145,0
VFQY,145,0,0.00,0,0.00,82.97,145,0
OSCV,136,0,0.00,0,0.00,23.30,136,0
EAOK,132,0,0.00,0,0.00,26.01,132,0
THY,126,0,0.00,0,0.00,25.00,126,0
PSMB,125,0,0.00,0,0.00,13.84,125,0
KWT,120,0,0.00,0,0.00,25.47,120,0
SEPZ,120,0,0.00,0,0.00,24.22,120,0
PAUG,116,0,0.00,0,0.00,26.88,116,0
VIRS,116,0,0.00,0,0.00,27.00,116,0
FDEM,110,0,0.00,0,0.00,23.16,110,0
BMAY,108,0,0.00,0,0.00,28.11,108,0
EAOM,108,0,0.00,0,0.00,26.40,108,0
ALFA,107,0,0.00,0,0.00,60.24,107,0
BOSS,103,0,0.00,0,0.00,24.55,103,0
ACSI,100,0,0.00,0,0.00,37.91,100,0
BJUN,100,0,0.00,0,0.00,29.43,100,0
BMAR,100,0,0.00,0,0.00,28.02,100,0
FUT,100,0,0.00,0,0.00,39.44,100,0
KJUL,100,0,0.00,0,0.00,23.88,100,0
